107 	? 	4 	sehen 	jiàn 	Langzeichen: ? 	frei 	selten 	147 	? jué = fühlen, ? lan = etw. anschauen
108 	? 	4 	Vater 	fù 		frei 	sehr selten 	88 	? yé = Opa, ? bà = Papa
109 	? 	4 	Dampf, Gas, Luft 	qì 		frei 	relativ häufig 	84 	? fen = Atmosphäre, Stimmung, ? hài = Helium, ? qing = Wasserstoff
110 	? 	4 	Rind 	niú 	? ist Schreibvariante 	frei 	selten 	93 	? mù = Vieh hüten, ? dú = Kalb
111 	? 	4 	Hand 	shou 	vgl. 55 ? 	frei 	selten 	64 	? ná = nehmen, ? bài = Ehrerbietung zeigen
112 	? 	4 	Haar, Borste 	máo 		frei 	selten 	82 	? tan = Bettdecke, ? háo = winzig
113 	? 	4 	klopfen 	pu 	in Langzeichen auch ? 	gebunden 	selten 	66 	? shou = empfangen, ? gong = angreifen
114 	? 	4 	Scheibe, Platte 	piàn 		frei 	sehr selten 	91 	? ban = Druckplatte, ? pái = Schild
115 	? 	4 	Axt, Pfund 	jin 		frei 	sehr selten 	69 	? suo = dasjenige, ? duàn = Abschnitt, ? xin = neu
116 	? 	4 	Klaue 	zhua 	vgl. 151 ?, ? Schreibvariante 	frei 	selten 	87 	? pá = klettern, ? ài = lieben
117 	? 	4 	Fuß (Längenmaß) 	chi 	vgl. 67 ? 	frei 	sehr selten 		? jin = möglichst, ? zhòu = Tageszeit
118 	? 	4 	Mond, Monat, Fleisch 	yuè 	Langzeichen: ? 	frei 	sehr häufig 	74 	? péng = Freund, ? gan = Leber, ? bèi = Rücken
119 	? 	4 	Keule, Lanze aus Bambus 	shu 		frei 	sehr selten 	79 	? duàn =,? ou = schlagen
120 	? 	4 	gähnen, schulden, mangeln 	qiàn 	vgl. 128 ? (Höhle) 	frei 		76 	? ou = Europa, ? ge = Lied, ? xie = rasten
121 	? 	4 	Wind 	feng 	Langzeichen: ? 	frei 	sehr selten 	182 	? piao = wehen, ? jù = Orkan
122 	? 	4 	Sippe, Familie 	shì 	vgl. 227 ? (Volk) 	frei 	sehr selten 	83 	? hun = Abenddämmerung, konfus
123 	? 	4 	vergleichen 	bi 	vgl. 39 ? (Löffel) 	frei 	sehr selten 	81 	? bì = beenden, ? pí = Laute, ? bì = sterben
124 	? 	4 	Pinsel, (Kopf des Zeichens yu) 	yù zì tóu 	? ist Schreibvariante 	frei 	sehr selten 		? sù = ehrerbietig, ? sì = rücksichtslos
125 	? 	4 	Wasser 	shui 	Kurzform ist  ? 	frei 	sehr selten 	85 	? dá oder tà = Haufen, ? jiàng = Gelee, ? miao = unendlich
126 	? 	5 	stehen, aufrichten 	lì 		frei 	selten 	117 	? zhàn = Station, ? chan = gebären, produzieren, ? qin = Elternteil
127 	? 	5 	Krankheit, (Radikal des Zeichens bing) 	nè, chuáng, bìng zì páng 		frei 	häufig 	104 	? bìng = krank, ? zhèng = Krankheit, ? téng = schmerzen
128 	? 	5 	Höhle 	xuè 	vgl. 120 ? (gähnen) 	frei 	häufig 	116 	? kong = leer, ? chuan = bohren, anziehen, ? chuang = Fenster
129 	? 	5 	Kleidung 	yi 	vgl. 161 ? 	gebunden 	häufig 	145 	? chèn = Hemd, ? shan = Hemd, ? kù = Hose
130 	?? 	5 		— 		gebunden 	sehr selten 		? chun = Frühling, ? qín = Esche, Qin-Dynastie
131 	? 	5 	Jade 	yù 	vgl. 88 ? (König) 	frei 	sehr selten 	96 	? bì = Wand, ? xi = kaiserliches Siegel
132 	? 	5 	Hinweis, Zeichen 	shì 	Kurzform von 87 ? 	frei 	sehr selten 	113 	? jìn = verbieten
133 	? 	5 	weg gehen 	qù 		frei 	sehr selten 		? diù = werfen, ? què = s. zurückziehen
134 	?? 	5 		róng zì tóu ??? 	?? wäre das Langzeichen, nicht das Kurzzeichen 	gebunden 	selten 		? láo = arbeiten, ? meng = täuschen, betrügen
135 	? 	5 	süß 	gan 	vgl. 93 ? (zwanzig) 	frei 	sehr selten 	99 	? mou = gewisse, bestimmte
136 	? 	5 	Stein 	shí 		frei 	häufig 	112 	? ma = Nummer, ? yàn = Tuschestein, ? pèng = berühren, treffen
137 	? 	5 	Drachen 	lóng 	Langzeichen: ? 	frei 	sehr selten 	212 	? lóng = Reisschäler, ? lóng = taub, ? long = erhöhter Ackerstreifen
138 	? 	5 	5. Himmelstamm 	wù 		frei 	sehr selten 		? chéng = werden, ? huò = oder
139 	? 	5 		cháng zì tóu ??? 	vgl. 46 ? (Dach) 	gebunden 	sehr selten 		? cháng = oft, ? zhang = Handfläche, ? táng = Halle
140 	? 	5 	Geschäft, Branche 	yè 	? 	frei 	sehr selten 		? zhi = Näharbeit, ? záo = Meißel
141 	? 	5 	Auge 	mù 	vgl. 145 ? 	frei 	häufig 	109 	? kàn = erblicken, ? mián = schlafen, ? shuì = schlafen
142 	? 	5 	Feld 	tián 		frei 	relativ häufig 	102 	? nán = Mann, ? si = denken, ? jiè = Grenze
143 	? 	5 	Grund, Ursache, wegen, durch 	yóu 		frei 	sehr selten 		? yóu = infolge von, durch, ? yóu = mit der Post senden
144 	? 	5 	erklären, 9. Erdzweig 	shen 		frei 	sehr selten 		? chàng = ungehindert
145 	? 	5 	Netz 	wang ??? 	Langzeichen: ? 	gebunden 	selten 	122 	? luó = Vogelfangnetz, sammeln, ? zuì = Fehler, Schuld, Sünde, ? bà = Tätigkeit einstellen
146 	? 	5 	Schüssel, Geschirr 	min ??? 	ähnelt 181 ? (Blut) 	frei 	selten 	108 	? pén = Topf, ? méng = sich verbünden, ? mèng = erster Monat einer Jahreszeit
147 	? 	5 	Gold, Metall 	jin 	Langzeichen: ?als Kurzform von 209 ? 	frei 	sehr häufig 	167 	? zhen = Nadel, ? tie = Eisen, ? tóng = Kupfer
148 	? 	5 	Pfeil 	shi 		frei 	sehr selten 	111 	? zhi = wissen, ? duan = kurz
149 	? 	5 	Getreide 	hé 	vgl. 94 ? (Baum) 	frei 	häufig 	115 	? lì = scharf, spitz, Profit, ? hé = Harmonie, ? jì = Jahreszeit
150 	? 	5 	weiß 	bái 	vgl. 103 ? (Sonne) 	frei 	selten 	106 	? bai = 100, ? de = Genitivpartikel, ? huáng = Kaiser
151 	? 	5 	Melone 	gua 	ähnelt 116 ? (Klaue) 	frei 	sehr selten 	97 	? piao = Schöpflöffel
152 	? 	5 	Vogel 	niao 	Langzeichen: ? 	frei 	häufig 	196 	? ji = Huhn, ? ya = Ente, ? ou = Möwe
153 	? 	5 	Haut, Leder 	pí 		frei 	sehr selten 	107 	? pó = geneigt, einseitig, ? zhòu = knittern
154 	? 	5 	Rücken 	bo 		gebunden 	sehr selten 	105 	? deng1 = steigen, ? gui = letzter der zehn Himmelsstämme
155 	? 	5 	Speer, Lanze 	máo 		frei 	sehr selten 	110 	? róu = weich, ? máo = Schädling
156 	? 	5 	Stoffballen 	shu, pi 	ähnelt 189 ? (gehen) 	frei 	sehr selten 	103 	? chu = klar, rein, ? dàn = Ei
157 	? 	6 	Ziege, Schaf 	yáng 	? ist Schreibvariante 	frei 	21 Zeichen 	123 	? mei = schön, ? qún = Herde, Menge
158 	? 	6 	Rolle 	Quán zì tóu ??? 		gebunden 	sehr selten 		? juàn = Buch, Band, ? quán = Faust
159 	? 	6 	Reis 	mi 		frei 	häufig 	119 	? fen = Pulver, ? liáng = Körner, Getreide, ? táng = Zucker
